model,rhoSOS,n_bound,samples,empirical_totalRasGTP_mean,empirical_totalRasGTP_sd,frozen_free_peak_prediction,absolute_tracking_error,relative_error_vs_RasTotal
Model1,1.0,0,7948,11.377705083039759,57.36983486869373,0.0,11.377705083039759,0.01137770508303976
Model1,1.0,1,52,473.71153846153845,227.9376885617293,799.1999999999999,325.4884615384615,0.3254884615384615
Model1,5.0,0,6888,85.37514518002322,157.5951055078526,0.0,85.37514518002322,0.08537514518002322
Model1,5.0,1,1076,696.9423791821562,188.24829967465567,799.1999999999999,102.25762081784376,0.10225762081784376
Model1,5.0,2,36,780.2777777777778,128.13482723528872,887.1111111111112,106.83333333333337,0.10683333333333338
Model1,10.0,0,4324,120.26665124884366,183.18871766341164,0.0,120.26665124884366,0.12026665124884366
Model1,10.0,1,2026,756.9684106614018,131.75637119915964,799.1999999999999,42.231589338598155,0.042231589338598156
Model1,10.0,2,1025,882.7921951219512,35.949839547265334,887.1111111111112,4.318915989160018,0.004318915989160018
Model1,10.0,3,345,918.5536231884058,12.123430180286183,920.3076923076923,1.7540691192864415,0.0017540691192864414
Model1,10.0,4,250,941.34,7.418382573041107,937.4117647058823,3.9282352941177123,0.003928235294117712
Model1,10.0,5,30,951.7,7.0811957558969745,947.6190476190476,4.0809523809524535,0.004080952380952453
Model2,1.0,0,7930,0.594577553593947,9.19908410673996,0.0,0.594577553593947,0.000594577553593947
Model2,1.0,1,70,244.44285714285715,69.42593910353798,285.4285714285714,40.98571428571424,0.040985714285714236
Model2,15.0,0,4875,8.287794871794873,33.34632328572179,0.0,8.287794871794873,0.008287794871794872
Model2,15.0,1,2070,277.3391304347826,51.168198204123,285.4285714285714,8.089440993788799,0.0080894409937888
Model2,15.0,2,652,432.4171779141104,35.297911085574974,443.5555555555556,11.138377641445175,0.011138377641445174
Model2,15.0,3,312,548.3461538461538,19.783492810199192,543.8181818181818,4.527972027972055,0.004527972027972055
Model2,15.0,4,91,615.3736263736264,20.3105820692631,612.9230769230769,2.450549450549488,0.002450549450549488
Model2,30.0,0,2086,19.74928092042186,49.1175233463036,0.0,19.74928092042186,0.01974928092042186
Model2,30.0,1,2058,280.7691933916424,50.18887245979659,285.4285714285714,4.659378036929013,0.004659378036929013
Model2,30.0,2,992,437.5,49.210849020214255,443.5555555555556,6.0555555555556,0.0060555555555556
Model2,30.0,3,1009,543.0862239841427,26.708341004273823,543.8181818181818,0.731957834039008,0.0007319578340390081
Model2,30.0,4,637,615.4913657770801,20.864111530088945,612.9230769230769,2.5682888540031854,0.0025682888540031856
Model2,30.0,5,378,666.8412698412699,17.558705478196362,663.3333333333333,3.50793650793662,0.00350793650793662
Model2,30.0,6,506,705.0711462450593,15.67136803717142,701.6470588235295,3.424087421529748,0.0034240874215297483
Model2,30.0,7,143,737.1678321678322,15.736904207682095,731.6842105263158,5.483621641516379,0.005483621641516379
Model2,30.0,8,171,763.2631578947369,14.888505298642334,755.8095238095237,7.453634085213139,0.007453634085213139
Model2,30.0,9,20,785.45,13.279589602092377,775.5652173913044,9.884782608695673,0.009884782608695674
Model3,1.0,0,7826,85.85867620751341,33.399768802799194,0.0,85.85867620751341,0.08585867620751342
Model3,1.0,1,170,103.68235294117648,44.09073846050982,799.1999999999999,695.5176470588235,0.6955176470588235
Model3,5.0,0,4906,649.4718711781492,48.795434404423375,0.0,649.4718711781492,0.6494718711781492
Model3,5.0,1,2398,658.7247706422019,47.95551676554166,799.1999999999999,140.47522935779807,0.14047522935779808
Model3,5.0,2,590,670.4661016949152,46.62506094936532,887.1111111111112,216.645009416196,0.216645009416196
Model3,5.0,3,89,677.9550561797753,47.07963850833496,920.3076923076923,242.35263612791698,0.242352636127917
Model3,10.0,0,2490,816.3827309236948,27.922039037792345,0.0,816.3827309236948,0.8163827309236948
Model3,10.0,1,2868,820.1966527196653,26.56169030510021,799.1999999999999,20.99665271966535,0.02099665271966535
Model3,10.0,2,1721,823.9081929110982,26.278814952890674,887.1111111111112,63.20291820001296,0.06320291820001296
Model3,10.0,3,673,828.0356612184249,26.016829166851103,920.3076923076923,92.27203108926733,0.09227203108926733
Model3,10.0,4,187,832.9090909090909,25.322672150505817,937.4117647058823,104.50267379679144,0.10450267379679144
Model3,10.0,5,50,833.48,21.28965946181385,947.6190476190476,114.13904761904757,0.11413904761904757
