model,n_bound,free_peak,sigma_reduced,spacing_to_next,linear_peak,linear_error,saturation_ratio,sequestered_fraction
Model1,0,0.0,0.0,799.2,0.0,0.0,0.0,0.0
Model1,1,799.1999999999999,12.642784503423288,87.91111111111113,4000.0,3200.8,4.0,0.001
Model1,2,887.1111111111112,9.928136846083854,33.1965811965812,8000.0,7112.88888888889,8.0,0.002
Model1,3,920.3076923076923,8.41385163930789,17.104072398190045,12000.0,11079.692307692305,12.0,0.003
Model1,4,937.4117647058823,7.425757100263295,10.207282913165265,16000.0,15062.588235294117,16.0,0.004
Model1,5,947.6190476190476,6.717493323650425,6.620952380952382,20000.0,19052.38095238095,20.0,0.005
Model1,6,954.24,6.1781550644185055,4.518620689655172,24000.0,23045.76,24.0,0.006
Model1,7,958.7586206896551,5.749838440577856,3.1807732497387664,28000.0,27041.241379310337,28.000000000000004,0.007
Model1,8,961.939393939394,5.3990442306230495,2.2768222768222772,32000.0,31038.060606060604,32.0,0.008
Model1,9,964.2162162162161,5.104889590928825,1.63744232036915,36000.0,35035.78378378378,36.0,0.009
Model1,10,965.8536585365854,4.853597254178636,nan,40000.0,39034.14634146341,40.0,0.01
Model2,0,0.0,0.0,285.42857142857144,0.0,0.0,0.0,0.0
Model2,1,285.4285714285714,14.278569641963726,158.12698412698413,400.0,114.57142857142856,0.39999999999999997,0.001
Model2,2,443.5555555555556,15.697762677732765,100.26262626262627,800.0,356.4444444444445,0.7999999999999999,0.002
Model2,3,543.8181818181818,15.722279817018526,69.1048951048951,1200.0,656.1818181818181,1.2,0.003
Model2,4,612.9230769230769,15.353815322922644,50.41025641025641,1600.0,987.0769230769231,1.5999999999999999,0.004
Model2,5,663.3333333333333,14.869805348796975,38.31372549019608,2000.0,1336.6666666666665,2.0,0.005
Model2,6,701.6470588235295,14.365471868578505,30.03715170278638,2400.0,1698.3529411764707,2.4,0.006
Model2,7,731.6842105263158,13.876183785691712,24.12531328320802,2800.0,2068.315789473684,2.8000000000000003,0.007
Model2,8,755.8095238095237,13.414717608883056,19.75569358178054,3200.0,2444.1904761904757,3.1999999999999997,0.008
Model2,9,775.5652173913044,12.984649945820678,16.434782608695656,3600.0,2824.434782608696,3.5999999999999996,0.009
Model2,10,792.0,12.585706178041818,nan,4000.0,3208.0,4.0,0.01
Model3,0,0.0,0.0,799.2,0.0,0.0,0.0,0.0
Model3,1,799.1999999999999,12.642784503423288,87.91111111111113,4000.0,3200.8,4.0,0.001
Model3,2,887.1111111111112,9.928136846083854,33.1965811965812,8000.0,7112.88888888889,8.0,0.002
Model3,3,920.3076923076923,8.41385163930789,17.104072398190045,12000.0,11079.692307692305,12.0,0.003
Model3,4,937.4117647058823,7.425757100263295,10.207282913165265,16000.0,15062.588235294117,16.0,0.004
Model3,5,947.6190476190476,6.717493323650425,6.620952380952382,20000.0,19052.38095238095,20.0,0.005
Model3,6,954.24,6.1781550644185055,4.518620689655172,24000.0,23045.76,24.0,0.006
Model3,7,958.7586206896551,5.749838440577856,3.1807732497387664,28000.0,27041.241379310337,28.000000000000004,0.007
Model3,8,961.939393939394,5.3990442306230495,2.2768222768222772,32000.0,31038.060606060604,32.0,0.008
Model3,9,964.2162162162161,5.104889590928825,1.63744232036915,36000.0,35035.78378378378,36.0,0.009
Model3,10,965.8536585365854,4.853597254178636,nan,40000.0,39034.14634146341,40.0,0.01
