model,bound_state,n_bound,relaxation_multiples_c,gamma,mean_error_fraction_after_c,mean_progress_fraction_after_c,prob_SOS_dwell_survives_c_relaxations,mean_residual_fraction_at_unbinding,mean_completed_fraction_at_unbinding
Model1,GDP,1,1.0,2.5,0.36787944117144233,0.6321205588285577,0.6703200460356393,0.2857142857142857,0.7142857142857143
Model1,GDP,1,2.0,2.5,0.1353352832366127,0.8646647167633873,0.44932896411722156,0.2857142857142857,0.7142857142857143
Model1,GDP,1,3.0,2.5,0.049787068367863944,0.950212931632136,0.30119421191220214,0.2857142857142857,0.7142857142857143
Model1,GDP,1,5.0,2.5,0.006737946999085467,0.9932620530009145,0.1353352832366127,0.2857142857142857,0.7142857142857143
Model1,GDP,2,1.0,4.5,0.36787944117144233,0.6321205588285577,0.8007374029168081,0.18181818181818182,0.8181818181818182
Model1,GDP,2,2.0,4.5,0.1353352832366127,0.8646647167633873,0.6411803884299546,0.18181818181818182,0.8181818181818182
Model1,GDP,2,3.0,4.5,0.049787068367863944,0.950212931632136,0.513417119032592,0.18181818181818182,0.8181818181818182
Model1,GDP,2,5.0,4.5,0.006737946999085467,0.9932620530009145,0.32919298780790557,0.18181818181818182,0.8181818181818182
Model1,GDP,3,1.0,6.5,0.36787944117144233,0.6321205588285577,0.8574039191604412,0.13333333333333333,0.8666666666666667
Model1,GDP,3,2.0,6.5,0.1353352832366127,0.8646647167633873,0.7351414805916845,0.13333333333333333,0.8666666666666667
Model1,GDP,3,3.0,6.5,0.049787068367863944,0.950212931632136,0.6303131865967198,0.13333333333333333,0.8666666666666667
Model1,GDP,3,5.0,6.5,0.006737946999085467,0.9932620530009145,0.4633693692311753,0.13333333333333333,0.8666666666666667
Model1,GDP,4,1.0,8.5,0.36787944117144233,0.6321205588285577,0.8890097654027757,0.10526315789473684,0.8947368421052632
Model1,GDP,4,2.0,8.5,0.1353352832366127,0.8646647167633873,0.7903383629814982,0.10526315789473684,0.8947368421052632
Model1,GDP,4,3.0,8.5,0.049787068367863944,0.950212931632136,0.7026185226629955,0.10526315789473684,0.8947368421052632
Model1,GDP,4,5.0,8.5,0.006737946999085467,0.9932620530009145,0.5553063730019505,0.10526315789473684,0.8947368421052632
Model1,GDP,5,1.0,10.5,0.36787944117144233,0.6321205588285577,0.909156442876713,0.08695652173913043,0.9130434782608695
Model1,GDP,5,2.0,10.5,0.1353352832366127,0.8646647167633873,0.8265654376242381,0.08695652173913043,0.9130434782608695
Model1,GDP,5,3.0,10.5,0.049787068367863944,0.950212931632136,0.751477293075286,0.08695652173913043,0.9130434782608695
Model1,GDP,5,5.0,10.5,0.006737946999085467,0.9932620530009145,0.6211451576154515,0.08695652173913043,0.9130434782608695
Model1,GTP,1,1.0,25.0,0.36787944117144233,0.6321205588285577,0.9607894391523232,0.038461538461538464,0.9615384615384616
Model1,GTP,1,2.0,25.0,0.1353352832366127,0.8646647167633873,0.9231163463866358,0.038461538461538464,0.9615384615384616
Model1,GTP,1,3.0,25.0,0.049787068367863944,0.950212931632136,0.8869204367171575,0.038461538461538464,0.9615384615384616
Model1,GTP,1,5.0,25.0,0.006737946999085467,0.9932620530009145,0.8187307530779818,0.038461538461538464,0.9615384615384616
Model1,GTP,2,1.0,45.0,0.36787944117144233,0.6321205588285577,0.9780228724846005,0.021739130434782608,0.9782608695652174
